Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
12,137,-0.272552176,De'Anthony Melton,,MEM,PG/SG,52,20.10032051,9.076923077,1.673076923,3.096153846,2.538461538,1.134615385,0.596153846,0.437659033,7.557692308,0.803921569,0.980769231,1.269230769,-1.188772508,-0.062315038,-1.113922742,-0.475327956,0.397243196,-0.157638107,-0.474390725,-0.002302439,0.624456739
12,138,-0.276318151,Josh Richardson,,DAL,SG/SF,59,30.3319209,12.11864407,1.491525424,3.305084746,2.593220339,1.033898305,0.406779661,0.427184466,10.47457627,0.916666667,1.830508475,1.338983051,-0.685557273,-0.234891121,-1.029833236,-0.451202813,0.108106329,-0.523691499,-0.830144053,0.614770972,0.54557933
12,139,-0.278334942,Jae Crowder,,PHO,SF/PF,60,27.47222222,10.05,2.466666667,4.683333333,2.116666667,0.816666667,0.433333333,0.404471545,8.2,0.76,1.25,0.9,-1.027788929,0.692041771,-0.475122353,-0.66115857,-0.515518539,-0.472364219,-0.9228948,-0.164199825,1.041990985
12,140,-0.281523598,Isaiah Stewart,,DET,PF/C,68,21.39387255,7.897058824,0.308823529,6.676470588,0.867647059,0.558823529,1.294117647,0.551219512,6.029411765,0.695652174,1.352941176,0.985294118,-1.383966502,-1.359123425,0.327065972,-1.211440464,-1.255730202,1.19150046,0.648276961,-0.435833713,0.945538528
12,141,-0.281787661,Lauri Markkanen,,CHI,PF/C,51,25.83169935,13.62745098,2.333333333,5.254901961,0.882352941,0.470588235,0.294117647,0.480769231,10.19607843,0.826086957,1.803921569,1.019607843,-0.435943772,0.565300077,-0.245080153,-1.204961478,-1.509034573,-0.741463063,0.008105361,0.120252836,0.906735815
12,142,-0.283653616,Reggie Bullock,,NYK,SG/SF,65,29.98871795,10.90769231,2.507692308,3.430769231,1.523076923,0.8,0.169230769,0.442067736,8.630769231,0.909090909,0.846153846,0.692307692,-0.885894311,0.731039215,-0.979248347,-0.922677033,-0.56336492,-0.982864842,-0.488215793,0.261489489,1.276853999
12,143,-0.299356136,Seth Curry,,PHI,PG/SG,57,28.74385965,12.47368421,2.210526316,2.403508772,2.719298246,0.771929825,0.140350877,0.467391304,9.684210526,0.896103896,1.350877193,1.140350877,-0.626820258,0.448564307,-1.392695211,-0.395656536,-0.643948299,-1.03868862,-0.184537439,0.369379887,0.770196946
12,144,-0.301019549,Marcus Morris,,LAC,PF/C,57,26.3497076,13.42105263,2.456140351,4.087719298,1.01754386,0.596491228,0.263157895,0.47260274,10.24561404,0.820224719,1.561403509,1,-0.470089834,0.682035847,-0.714842234,-1.145400272,-1.147594418,-0.801307135,-0.116865773,0.07597908,0.928908794
13,145,-0.307239598,Tim Hardaway Jr.,Injured - foot fracture (0g) - 4/10/2022,DAL,SG/SF,70,28.35952381,16.61428571,2.957142857,3.271428571,1.785714286,0.442857143,0.157142857,0.4467618,13.01428571,0.816091954,2.485714286,0.914285714,0.058191209,1.158270142,-1.043379011,-0.806966612,-1.588644519,-1.006230335,-0.656677575,0.094443933,1.025836387
13,146,-0.308224327,Dillon Brooks,Injured - left ankle (0g) - 3/8/2022,MEM,SG/SF,67,29.80074627,17.17910448,1.910447761,2.910447761,2.343283582,1.164179104,0.388059701,0.419010669,15.3880597,0.815384615,2.910447761,1.776119403,0.15163351,0.163320827,-1.188664837,-0.561317715,0.482114217,-0.559876498,-1.418106678,0.105622271,0.051255962
13,147,-0.309008598,Ivica Zubac,,LAC,C,72,22.34189815,9.027777778,0.013888889,7.208333333,1.25,0.333333333,0.861111111,0.652284264,5.472222222,0.789473684,2.375,1.125,-1.196902992,-1.639477293,0.541127539,-1.042986823,-1.903063596,0.354514621,1.416054083,-0.097898977,0.787556054
13,148,-0.30969232,Alec Burks,,NYK,SG/SF,49,25.60238095,12.71428571,2.081632653,4.632653061,2.183673469,0.632653061,0.285714286,0.420841683,10.18367347,0.855932203,2.408163265,1,-0.587015706,0.3260428,-0.495519906,-0.631637312,-1.043781646,-0.757706454,-0.902870114,0.376348666,0.928908794
